date,description,temp,pressure,humidity
1522249200,"light rain",274.78,1012.43,98.0
1522260000,"light rain",274.91,1010.31,95.0
1522270800,"light rain",275.42,1007.98,97.0
1522281600,"moderate rain",276.32,1004.77,97.0
1522292400,"light rain",277.305,1003.02,97.0
1522303200,"light rain",277.667,1004.51,97.0
1522314000,"light rain",277.569,1008.5,100.0
1522324800,"light rain",278.386,1011.18,100.0
1522335600,"light rain",278.173,1012.91,94.0
1522346400,"light rain",277.349,1014.44,94.0
1522357200,"light rain",275.586,1016.21,94.0
1522368000,"light rain",273.837,1017.16,91.0
1522378800,"clear sky",271.189,1018.21,89.0
1522389600,"clear sky",271.009,1018.81,87.0
1522400400,"clear sky",275.678,1019.15,100.0
1522411200,"clear sky",279.156,1017.44,100.0
1522422000,"few clouds",280.074,1015.38,91.0
1522432800,"clear sky",277.729,1014.31,80.0
1522443600,"scattered clouds",275.982,1013.24,80.0
1522454400,"few clouds",275.498,1011.37,83.0
1522465200,"scattered clouds",275.223,1008.74,86.0
1522476000,"overcast clouds",276.058,1006.58,85.0
1522486800,"light rain",278.386,1005.56,89.0
1522497600,"light rain",279.771,1003.94,92.0
1522508400,"light rain",281.015,1002.44,95.0
1522519200,"light rain",280.493,1001.64,95.0
1522530000,"light rain",280.037,1001.51,96.0
1522540800,"light rain",279.172,1001.3,97.0
1522551600,"light rain",278.2,1001.6,98.0
1522562400,"light rain",277.627,1002.76,97.0
1522573200,"light rain",276.771,1004.71,100.0
1522584000,"light rain",277.329,1006.27,100.0
1522594800,"light rain",276.923,1008.71,98.0
1522605600,"light rain",275.802,1011.99,96.0
1522616400,"light rain",274.75,1014.94,95.0
1522627200,"light snow",274.262,1016.89,96.0
1522638000,"light snow",273.842,1018.58,96.0
1522648800,"light snow",273.674,1020.31,98.0
1522659600,"clear sky",275.482,1022.12,100.0
1522670400,"broken clouds",277.676,1022.55,100.0
